name,releaseDate,rating,artistId,link
"Oh, No! It's Devo",10/27/1982,4.5,1,https://tidal.com/browse/album/3161757?u
Freedom of Choice,5/16/1980,4,1,https://tidal.com/browse/album/35262808?u
New Traditionalists,11/16/1981,3.5,1,https://tidal.com/browse/album/34438100?u
Shout!,10/8/1984,1.5,1,https://tidal.com/browse/album/3144458?u
Yellow Magic Orchestra,5/30/1979,4.5,2,https://tidal.com/browse/album/109139257?u
Lincoln,11/25/1988,4,3,https://tidal.com/browse/album/95612972?u
Flood,1/15/1990,5,3,https://tidal.com/browse/album/3188629?u
Tyrannosaurus Hives,7/19/2004,4.5,4,https://tidal.com/browse/album/596343?u
Lex Hives,6/1/2012,3,4,https://tidal.com/browse/album/345863024?u
Normal,3/14/2025,5,5,https://tidal.com/browse/album/412962149?u
Spectator Sports,3/24/2017,4,7,https://tidal.com/browse/album/72145640?u
Ramones,4/23/1976,4,6,https://tidal.com/browse/album/68697204?u
Leave Home,1/10/1977,4.5,6,https://tidal.com/browse/album/420311781?u
Rocket to Russia,11/4/1977,3.5,6,https://tidal.com/browse/album/68697095?u
Subterranean Jungle,2/28/1983,2,6,https://tidal.com/browse/album/68697125?u
The Kinks Are the Village Green Preservation Society,11/22/1968,4,8,https://tidal.com/browse/album/96312494?u
"Lola Versus Powerman and the Moneygoround, Part One",11/27/1970,4.5,8,https://tidal.com/browse/album/86217317?u
Muswell Hillbillies,11/24/1971,3.5,8,https://tidal.com/browse/album/243277287?u
Last Wave Rockers,5/25/1999,4,9,https://tidal.com/browse/album/370577549?u
This Is Unity Music,11/3/2002,3,9,https://tidal.com/browse/album/144600429?u
Fix My Brain,5/16/2006,5,10,https://tidal.com/browse/album/56678502?u
Ghosts,1/27/2009,4.5,10,https://tidal.com/browse/album/56439776?u
On the Outside,5/18/2004,3.5,10,https://tidal.com/browse/album/56678769?u
Power Chords,1/25/2019,4,11,https://tidal.com/browse/album/97542411?u
Turkey,8/28/2015,4,11,https://tidal.com/browse/album/49840954?u
Trust Fund,6/11/2013,3.5,11,https://tidal.com/browse/album/73579223?u
That's How We Burn,7/27/2010,4,12,https://tidal.com/browse/album/4204674?u
There's No Sky (Oh My My),4/27/2010,4.5,12,https://tidal.com/browse/album/219678922?u
Foreign Lands,6/1/2009,4.5,13,https://youtu.be/9lHkqC8KXlQ
There's Nothing Wrong With Love,11/13/1994,4,14,https://tidal.com/browse/album/3726736?u
Perfect From Now On,1/28/1997,4.5,14,https://tidal.com/browse/album/35261314?u
Keep It Like A Secret,2/2/1999,5,14,https://tidal.com/browse/album/34433618?u
You In Reverse,4/11/2006,1.5,14,https://tidal.com/browse/album/306839?u
Whatever and Ever Amen,3/18/1997,4.5,15,https://tidal.com/browse/album/2068094?u
The Unauthorized Biography of Reinhold Messner,4/27/1999,4,15,https://tidal.com/browse/album/1270950?u
The Sound of the Life of the Mind,11/18/2012,3,15,https://tidal.com/browse/album/16872022?u
Radioactivity,10/29/2013,4.5,16,https://tidal.com/browse/album/56090091?u
Silent Kill,6/30/2015,3,16,https://tidal.com/browse/album/56089906?u