fullName,artistId
Gerald Casale,1
Mark Mothersbaugh,1
Bob Mothersbaugh,1
Bob Casale,1
Alan Meyers,1
Ryuichi Sakamoto,2
Haruomi Hosono,2
Yukihiro Takahashi,2
John Linnell,3
John Flansburgh,3
Per Almqvist,4
Niklas Almqvist,4
Mikael Karlsson,4
Christian Grahn,4
Mattias Bernvall,4
Lew Froy,5
Stu Lloyd,5
Dave Ball,5
Paul Terris,5
Graham Hunt,7
Karl Giehl,7
Sam Reitman,7
Brady Murphy,7
Joey Ramone,6
Johnny Ramone,6
DeeDee Ramone,6
Tommy Ramone,6
Ray Davies,8
Dave Davies,8
Pete Quaife,8
Mick Avery,8
Jesse Michaels,9
Mass Giorgini,9
Dan Lumley,9
Joe Ayoub,10
Jeff Burke,"10,16"
Mike Throneberry,10
Mark Ryan,"10,16"
Mike Krol,11
Andrew Harris,12
Vincent Kirchner,12
Austin Dutmer,12
Andrew Savage,13
Bradley Kerl,13
Chris Pickering,13
Daniel Zeigler,13
Doug Martsch,14
Brett Nelson,14
Scott Plouf,14
Ben Folds,15
Darren Jessee,15
Robert Sledge,15
Daniel Fried,16
Gregory Rutherford,16